ا	5	أن
ا	9	أنا
ا	19	إلى
ا	20	أنت
ا	33	الآن
ا	35	الذي
ا	37	أجل
ا	45	إنه
ا	48	إذا
ا	51	أي
ا	61	أو
ا	64	التي
ا	66	إنها
ا	70	أين
ا	73	أعرف
ا	78	أريد
ا	79	أعتقد
ا	85	أنك
ا	88	أعلم
ا	89	أحد
ا	98	أكثر
ا	103	اليوم
ا	106	أليس
ا	110	آخر
ا	114	أيها
ا	119	أستطيع
ا	129	أنني
ا	130	أوه
ا	136	أيضاً
ا	137	أفضل
ا	152	أخرى
ا	153	آسف
ا	170	أبي
ا	176	إذن
ا	181	إلهي
ا	185	أمي
ا	187	ألا
ا	194	الجميع
ا	209	أعني
ا	217	أفعل
ا	218	أكون
ا	223	أننا
ا	230	أظن
ا	237	أم
ا	242	أقول
ا	244	أبداً
ا	248	أمر
ا	253	انظر
ا	257	أشعر
ا	260	أني
ا	265	الذين
ا	272	أرى
ا	297	أذهب
ا	303	إنهم
ا	311	أحب
ا	315	أردت
ا	316	أكن
ا	327	إلي
ا	328	انتظر
ا	340	الباب
ا	363	أحتاج
ا	401	إليه
ا	409	أنتم
ا	417	إليك
ب	59	بعد
ب	77	بعض
ب	84	به
ب	127	بأن
ب	135	بها
ب	147	بهذا
ب	151	بي
ب	154	بك
ب	156	بذلك
ب	191	بما
ب	216	بشأن
ب	222	بين
ب	267	بأس
ب	269	بدون
ب	285	بل
ب	308	بهذه
ب	314	بنا
ب	325	بأنه
ب	374	بكل
ب	376	بأنك
ب	415	بينما
ب	523	بدأت
ب	660	بأي
ب	670	بد
ب	676	بلا
ب	731	بهم
ب	740	بيت
ب	778	بلى
ب	787	بدأ
ب	806	بأنها
ب	842	بأني
ب	844	بيننا
ب	848	بيتر
ب	849	بعضنا
ب	867	بنفسك
ب	948	بتلك
ب	950	بعدها
ب	973	بنفسي
ب	992	ببعض
ب	995	بكم
ب	1021	بول
ب	1032	بيل
ب	1067	بأننا
ب	1095	ب
ب	1103	بوب
ب	1290	بماذا
ب	1305	بعيد
ب	1358	بنفس
ب	1391	برنامج
ب	1403	بني
ب	1491	بدلاً
ب	1508	بالله
ب	1515	بلدي
ب	1566	بطاقة
ب	1596	بداية
ب	1615	بيتي
ب	1658	بيني
ب	1707	بسيط
ب	1752	باريس
ب	1765	بعضهم
ب	1778	بن
ب	1801	بناء
ب	1821	بوبي
ب	1848	بقية
ت	72	تلك
ت	101	تكون
ت	118	تريد
ت	121	تعرف
ت	142	تفعل
ت	175	تعلم
ت	178	تم
ت	249	تقول
ت	250	توقف
ت	266	تستطيع
ت	271	تبدو
ت	274	تكن
ت	281	تحت
ت	283	تعال
ت	291	تعتقد
ت	299	تماماً
ت	346	تريدين
ت	351	تذهب
ت	372	تعرفين
ت	389	تعلمين
ت	428	تعمل
ت	429	تتحدث
ت	435	ترى
ت	473	تباً
ت	491	تأتي
ت	494	تقوم
ت	543	تحتاج
ت	560	تعني
ت	564	تكوني
ت	585	ترجمة
ت	621	تشعر
ت	649	تفعلين
ت	653	تحاول
ت	664	تظن
ت	675	تقلق
ت	688	تعالي
ت	727	تحصل
ت	754	توجد
ت	768	تحب
ت	814	تحدث
ت	821	تبقى
ت	833	تفهم
ت	859	تفضل
ت	860	توم
ت	864	تأخذ
ت	882	تذكر
ت	896	تعود
ت	916	تصبح
ت	942	تفكر
ت	944	تعتقدين
ت	957	ترك
ت	962	تقصد
ت	964	تبدين
ت	972	توقفي
ت	986	تحمل
ت	1073	تعيش
ت	1157	تعلمون
ت	1169	تزال
ت	1176	تركت
ت	1181	تفعلي
ت	1188	ترغب
ت	1193	تبحث
ت	1205	تنظر
ت	1207	تود
ث	159	ثم
ث	349	ثلاثة
ث	403	ثانية
ث	678	ثلاث
ث	1414	ثمة
ث	1793	ثمن
ث	2015	ثمانية
ث	2347	ثق
ث	4129	ثقي
ث	4510	ثواني
ث	5176	ثقة
ث	5587	ثاني
ث	5934	ثمل
ث	5984	ثروة
ث	6235	ثقب
ث	6461	ثلاثون
ث	7174	ثقيل
ث	7215	ثالث
ث	7332	ثلج
ث	7439	ثابت
ث	7885	ثمان
ث	8037	ثلاثين
ث	8184	ثنائي
ث	8195	ثابتة
ث	9110	ثوب
ث	9417	ثور
ث	10913	ثورة
ث	11675	ثياب
ث	12289	ثملاً
ث	12606	ثري
ث	12671	ثعبان
ث	12789	ثورن
ث	12872	ثمين
ث	13071	ثماني
